NAME,ACT,SCENE,TEXT,PASSED
名字,第几幕,激活场景,描述,通过后的文本
邪恶洞窟,1,101,阿卡拉手下的浪人侦察兵发现了在营地附近有个怪物聚居的阴暗洞穴。阿卡拉担心它们会对营地进行反扑。你必须消灭洞穴中的所有怪物，包括那些头目和暗金怪物。,你已经清除了，洞窟中的邪恶，也赢得了我们的信任，并恢复了我对人类的信心。
修女埋骨之地,1,102,卡夏手下的浪人在修道院墓地附近发现了新的情况。血鸟，以前浪人的一个头领，在崔斯特瑞姆与暗黑破坏神的战争中投靠了安达利尔。她能将墓地里的浪人战士尸体召唤为僵尸。你必须帮助浪人干掉她！,我几乎不敢相信你杀死了血鸟！虽然她曾经是我最亲密的朋友，我仍然祈祷她饱受刑罚的灵魂被永远的放逐。
凯恩的搜索,1,104,阿卡拉告诉你现在你将要面对以前从未遇到的怪物，你必须去学习神秘的历史和古老的知识，只有迪卡·凯恩可以帮助你。你必须到崔斯特瑞姆寻找他。,…我十分感谢你，朋友，在紧急时出现援助我。
遗忘之塔,1,106,城堡之书讲述了一个伯爵夫人被活活烧死的故事。在这片荒凉的土地上，很多城堡都已经倒塌了，只有伯爵夫人的城堡依然耸立着。传说里面有无数的金银财宝，但也有人说这些传说都是虚构的。,…所以它是有意回去找女伯爵的，那个曾经想用处女的鲜血来返老还童，被活埋的女子…而且她的城堡在各个残暴的行为下，很快的崩塌成为一个废墟。一个人迹罕至的高塔竖立在诸神遗忘的荒野上面，像是某种邪恶的纪念碑。女伯爵的财富相信是由神职人员所瓜分，虽然有些没有找出来，仍然埋藏在腐朽的骷髅身边，这些是唯一目睹城堡中不人道行为的无声的见证者。
交易的工具,1,108,当铁匠恰西从修道院逃出来的时候不小心遗忘了她的赫拉迪克·马勒斯，这是一个有非凡魔力的锻造锤。如果你能帮她找回来，她就会使用其中的魔力使你的武器变的更强。,噢！你能把赫拉迪克·马勒斯送回来实在太棒了! 我现在就可以把你的一项物品灌入魔法的力量。
屠杀的修女,1,114,现在是面对恶魔女王安达利尔的时候了，她令浪人姐妹集体堕落并玷污了古老的修道院。在她将修道院变成地狱前哨之前，你必须杀死她，并恢复通往东方的道路。,这是个伟大的胜利， 但是面前还有更多的战斗在等着。我会在你的旅程中与之为伴，尽我可能的提供协助…记住…暗黑破坏神还是在外面游走， 在沙漠中找寻一些我们不知道的东西。直到你们找到他正在搜寻的东西之前，我很害怕这个恶梦永远不会结束。
罗达门特的巢穴,2,202,在的下水道中隐藏着一个嗜食人肉的怪物。 它曾经杀死过很多无辜的城镇居民， 包括亚特玛的儿子和丈夫。 如果你可以杀死它， 那么她会报答你的。,他们说复仇的味道嚐起来苦乐参半，但是我觉得我还蛮喜欢的。 除了我永久的感谢之外，我已经把你的义行告诉其他的镇民。商人们都同意表达他们的感谢，让你以最低的折扣购买他们的货物。 噢…杰海因也想要见见你。你可以在皇宫的前面找到他。
赫拉迪克之杖,2,204,凯恩告诉你了一些关于赫拉迪克法杖的事情， 当[塔·拉夏]封印住[巴尔]后， 利用魔力使墓室的入口从世界上消失了。 一些法师后来通过合成赫拉迪克法杖并且注入神奇的魔力来打开那扇隐藏这的墓室大门。在不久之前，赫拉迪克之杖差点被一个浪人法师偷走，在这之后它就被分成了两部分——木制的杖身和金属的杖头。它们被分别藏在了安全的地方。赫拉森意识到了危险即将来临，很多象你这样的英雄试图去寻找法杖，他会全力阻止你去打扰督瑞尔。收集赫拉迪克之杖的所有部分并且在赫拉迪克方块中进行合成。 这样你才能够进入督瑞尔的房间。,太棒了！你现在拥有赫拉迪克之杖了。带著它前往塔．拉夏的墓地，在里面找到一个房间，地面镶著七个符号的圆环。把木杖放在那个地方的插槽中，这样就可以打开通往塔．拉夏的埋骨之处。但是，你得准备迎接一场战斗-你很可能要杀死塔．拉夏，才能够摧毁巴尔。
堕落的太阳,2,206,当你进入遗忘的城市，天空马上变的阴暗。卓格南通过研究发现造成这种情况的根源是利爪腹蛇。找到沙漠深处隐藏于地下的神殿，铲除恶魔解除诅咒，一切就将恢复正常。,你回复了我们世界中的光芒，做得好。
